asset,segment_id,exposure,average_profitability,risk_weight,rel_sell_cost,rel_origination_cost
HomeRenovationLoan,HomeRenovationLoan_Prime,26720,0.0834,0.35,0.048,0.044
HomeRenovationLoan,HomeRenovationLoan_Standard,11591,0.1216,0.41,0.056,0.047
HomeRenovationLoan,HomeRenovationLoan_Substandard,93270,0.1725,0.49,0.033,0.067
HomeRenovationLoan,HomeRenovationLoan_Subprime,7715,0.1588,0.38,0.036,0.052
HELOC,HELOC_Prime,62470,0.0301,0.13,0.013,0.046
HELOC,HELOC_Standard,96918,0.1778,0.49,0.059,0.035
HELOC,HELOC_Substandard,77270,0.1724,0.4,0.052,0.043
HELOC,HELOC_Subprime,99715,0.1414,0.21,0.033,0.034
CashAdvances,CashAdvances_Prime,22856,0.0412,0.17,0.017,0.04
CashAdvances,CashAdvances_Standard,28052,0.1136,0.36,0.061,0.029
CashAdvances,CashAdvances_Substandard,64214,0.1264,0.27,0.035,0.03
CashAdvances,CashAdvances_Subprime,41524,0.242,0.49,0.065,0.039
ReverseMortgage,ReverseMortgage_Prime,37484,0.0541,0.19,0.049,0.033
ReverseMortgage,ReverseMortgage_Standard,19367,0.1389,0.49,0.064,0.06
ReverseMortgage,ReverseMortgage_Substandard,62995,0.1442,0.41,0.031,0.027
ReverseMortgage,ReverseMortgage_Subprime,62048,0.1869,0.47,0.06,0.048
